"filename", "language", "HTML", "Python", "SQL", "comment", "blank", "total"
"/Users/davemurray/OneDrive - OhmniD/codeclan_working_files/codeclan_work/week_04/solo_project/app.py", "Python", 0, 9, 0, 0, 5, 14
"/Users/davemurray/OneDrive - OhmniD/codeclan_working_files/codeclan_work/week_04/solo_project/console.py", "Python", 0, 83, 0, 10, 56, 149
"/Users/davemurray/OneDrive - OhmniD/codeclan_working_files/codeclan_work/week_04/solo_project/controllers/__init__.py", "Python", 0, 0, 0, 0, 1, 1
"/Users/davemurray/OneDrive - OhmniD/codeclan_working_files/codeclan_work/week_04/solo_project/controllers/drivers_controller.py", "Python", 0, 12, 0, 1, 7, 20
"/Users/davemurray/OneDrive - OhmniD/codeclan_working_files/codeclan_work/week_04/solo_project/db/__init__.py", "Python", 0, 0, 0, 0, 1, 1
"/Users/davemurray/OneDrive - OhmniD/codeclan_working_files/codeclan_work/week_04/solo_project/db/f1_results.sql", "SQL", 0, 0, 48, 0, 6, 54
"/Users/davemurray/OneDrive - OhmniD/codeclan_working_files/codeclan_work/week_04/solo_project/db/run_sql.py", "Python", 0, 18, 0, 0, 3, 21
"/Users/davemurray/OneDrive - OhmniD/codeclan_working_files/codeclan_work/week_04/solo_project/models/__init__.py", "Python", 0, 0, 0, 0, 1, 1
"/Users/davemurray/OneDrive - OhmniD/codeclan_working_files/codeclan_work/week_04/solo_project/models/driver.py", "Python", 0, 9, 0, 0, 0, 9
"/Users/davemurray/OneDrive - OhmniD/codeclan_working_files/codeclan_work/week_04/solo_project/models/driver_team.py", "Python", 0, 5, 0, 0, 0, 5
"/Users/davemurray/OneDrive - OhmniD/codeclan_working_files/codeclan_work/week_04/solo_project/models/entrant.py", "Python", 0, 5, 0, 0, 1, 6
"/Users/davemurray/OneDrive - OhmniD/codeclan_working_files/codeclan_work/week_04/solo_project/models/race_result.py", "Python", 0, 7, 0, 0, 0, 7
"/Users/davemurray/OneDrive - OhmniD/codeclan_working_files/codeclan_work/week_04/solo_project/models/round.py", "Python", 0, 7, 0, 0, 1, 8
"/Users/davemurray/OneDrive - OhmniD/codeclan_working_files/codeclan_work/week_04/solo_project/models/team.py", "Python", 0, 9, 0, 0, 0, 9
"/Users/davemurray/OneDrive - OhmniD/codeclan_working_files/codeclan_work/week_04/solo_project/repositories/__init__.py", "Python", 0, 0, 0, 0, 1, 1
"/Users/davemurray/OneDrive - OhmniD/codeclan_working_files/codeclan_work/week_04/solo_project/repositories/driver_repository.py", "Python", 0, 47, 0, 0, 21, 68
"/Users/davemurray/OneDrive - OhmniD/codeclan_working_files/codeclan_work/week_04/solo_project/repositories/driver_team_repository.py", "Python", 0, 41, 0, 0, 16, 57
"/Users/davemurray/OneDrive - OhmniD/codeclan_working_files/codeclan_work/week_04/solo_project/repositories/entrant_repository.py", "Python", 0, 41, 0, 0, 14, 55
"/Users/davemurray/OneDrive - OhmniD/codeclan_working_files/codeclan_work/week_04/solo_project/repositories/race_result_repository.py", "Python", 0, 41, 0, 0, 16, 57
"/Users/davemurray/OneDrive - OhmniD/codeclan_working_files/codeclan_work/week_04/solo_project/repositories/round_repository.py", "Python", 0, 35, 0, 0, 21, 56
"/Users/davemurray/OneDrive - OhmniD/codeclan_working_files/codeclan_work/week_04/solo_project/repositories/team_repository.py", "Python", 0, 35, 0, 0, 17, 52
"/Users/davemurray/OneDrive - OhmniD/codeclan_working_files/codeclan_work/week_04/solo_project/run_tests.py", "Python", 0, 0, 0, 0, 1, 1
"/Users/davemurray/OneDrive - OhmniD/codeclan_working_files/codeclan_work/week_04/solo_project/templates/base.html", "HTML", 26, 0, 0, 0, 1, 27
"/Users/davemurray/OneDrive - OhmniD/codeclan_working_files/codeclan_work/week_04/solo_project/templates/drivers/edit.html", "HTML", 0, 0, 0, 0, 1, 1
"/Users/davemurray/OneDrive - OhmniD/codeclan_working_files/codeclan_work/week_04/solo_project/templates/drivers/index.html", "HTML", 10, 0, 0, 0, 3, 13
"/Users/davemurray/OneDrive - OhmniD/codeclan_working_files/codeclan_work/week_04/solo_project/templates/drivers/new.html", "HTML", 0, 0, 0, 0, 1, 1
"/Users/davemurray/OneDrive - OhmniD/codeclan_working_files/codeclan_work/week_04/solo_project/templates/drivers/show.html", "HTML", 14, 0, 0, 0, 6, 20
"/Users/davemurray/OneDrive - OhmniD/codeclan_working_files/codeclan_work/week_04/solo_project/templates/index.html", "HTML", 4, 0, 0, 0, 3, 7
"/Users/davemurray/OneDrive - OhmniD/codeclan_working_files/codeclan_work/week_04/solo_project/tests/__init__.py", "Python", 0, 0, 0, 0, 1, 1
"Total", "-", 54, 404, 48, 11, 205, 722
